iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"06-Jan-2017"
Total Net Assets,"$12,348,359,110"
Shares Outstanding,"270,400,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"T","AT&T INC","Equity","1.5911","41.32","4,753,085","$196,397,472","196,397,472.20","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","1.5799","103.11","1,891,364","$195,018,542","195,018,542.04","Information Technology","2065308","US0530151036","NASDAQ"
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.5205","53.26","3,523,852","$187,680,358","187,680,357.52","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.4581","116.30","1,547,554","$179,980,530","179,980,530.20","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","1.4373","104.56","1,696,798","$177,417,199","177,417,198.88","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","1.3749","115.40","1,470,653","$169,713,356","169,713,356.20","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","1.3540","120.76","1,384,053","$167,138,240","167,138,240.28","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","1.3367","167.89","982,764","$164,996,248","164,996,247.96","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.3348","88.50","1,861,712","$164,761,512","164,761,512.00","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","1.2990","82.21","1,950,488","$160,349,618","160,349,618.48","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.2944","85.03","1,879,121","$159,781,659","159,781,658.63","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"PAYX","PAYCHEX INC","Equity","1.2589","61.27","2,536,174","$155,391,381","155,391,380.98","Information Technology","2674458","US7043261079","NASDAQ"
"UNH","UNITEDHEALTH GROUP INC","Equity","1.2569","162.41","955,314","$155,152,547","155,152,546.74","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"SYK","STRYKER CORP","Equity","1.2500","117.75","1,310,394","$154,298,894","154,298,893.50","Health Care","2853688","US8636671013","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","1.2480","49.01","3,143,107","$154,043,674","154,043,674.07","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","1.2460","77.49","1,984,749","$153,798,200","153,798,200.01","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","1.2369","180.00","848,247","$152,684,460","152,684,460.00","Real Estate","2131179","US0534841012","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.2331","163.41","931,482","$152,213,474","152,213,473.62","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"ED","CONSOLIDATED EDISON INC","Equity","1.2297","73.94","2,052,810","$151,784,771","151,784,771.40","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.2285","33.48","4,529,304","$151,641,098","151,641,097.92","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"WM","WASTE MANAGEMENT INC","Equity","1.2230","70.19","2,150,729","$150,959,669","150,959,668.51","Industrials","2937667","US94106L1098","New York Stock Exchange Inc."
"RSG","REPUBLIC SERVICES INC","Equity","1.1684","57.03","2,528,862","$144,221,000","144,220,999.86","Industrials","2262530","US7607591002","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","1.1654","61.47","2,340,255","$143,855,475","143,855,474.85","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC","Equity","1.1349","116.30","1,204,534","$140,087,304","140,087,304.20","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","1.1180","41.74","3,306,237","$138,002,332","138,002,332.38","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"FISV","FISERV INC","Equity","1.0627","109.83","1,194,363","$131,176,888","131,176,888.29","Information Technology","2342034","US3377381088","NASDAQ"
"CB","CHUBB LTD","Equity","1.0374","131.33","975,084","$128,057,782","128,057,781.72","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","1.0185","86.47","1,453,946","$125,722,711","125,722,710.62","Financials","2740542","BMG0450A1053","NASDAQ"
"MO","ALTRIA GROUP INC","Equity","1.0071","68.23","1,821,992","$124,314,514","124,314,514.16","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"BCR","C R BARD INC","Equity","1.0045","229.66","539,869","$123,986,315","123,986,314.54","Health Care","2077905","US0673831097","New York Stock Exchange Inc."
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Equity","0.9975","10.27","11,989,519","$123,132,360","123,132,360.13","Financials","2113456","US0357104092","New York Stock Exchange Inc."
"PSA","PUBLIC STORAGE REIT","Equity","0.9810","228.35","530,291","$121,091,950","121,091,949.85","Real Estate","2852533","US74460D1090","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.9769","60.27","2,000,688","$120,581,466","120,581,465.76","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.9545","75.98","1,550,600","$117,814,588","117,814,588.00","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"ISRG","INTUITIVE SURGICAL INC","Equity","0.9521","636.11","184,764","$117,530,228","117,530,228.04","Health Care","2871301","US46120E6023","NASDAQ"
"XEL","XCEL ENERGY INC","Equity","0.9225","40.92","2,782,697","$113,867,961","113,867,961.24","Utilities","2614807","US98389B1008","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","0.9151","792.91","142,464","$112,961,130","112,961,130.24","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","0.8674","72.87","1,469,258","$107,064,830","107,064,830.46","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.8526","75.67","1,390,872","$105,247,284","105,247,284.24","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"SNPS","SYNOPSYS INC","Equity","0.8195","60.00","1,685,870","$101,152,200","101,152,200.00","Information Technology","2867719","US8716071076","NASDAQ"
"NEM","NEWMONT MINING CORP","Equity","0.8183","35.42","2,851,566","$101,002,468","101,002,467.72","Materials","2636607","US6516391066","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.8097","169.53","589,531","$99,943,190","99,943,190.43","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"D","DOMINION RESOURCES INC","Equity","0.7946","76.90","1,275,464","$98,083,182","98,083,181.60","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.7838","67.36","1,436,356","$96,752,940","96,752,940.16","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"CLX","CLOROX","Equity","0.7809","122.52","786,693","$96,385,626","96,385,626.36","Consumer Staples","2204026","US1890541097","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.7601","85.50","1,097,335","$93,822,143","93,822,142.50","Real Estate","BTGQCX1","US22822V1017","New York Stock Exchange Inc."
"K","KELLOGG","Equity","0.7445","73.13","1,256,565","$91,892,598","91,892,598.45","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","0.7181","80.43","1,102,121","$88,643,592","88,643,592.03","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.7119","30.23","2,906,779","$87,871,929","87,871,929.17","Information Technology","2198163","US17275R1023","NASDAQ"
"HD","HOME DEPOT INC","Equity","0.6844","133.53","632,649","$84,477,621","84,477,620.97","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.6816","107.76","780,803","$84,139,331","84,139,331.28","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.6782","186.83","448,112","$83,720,765","83,720,764.96","Real Estate","2812452","US8288061091","New York Stock Exchange Inc."
"DPS","DR PEPPER SNAPPLE GROUP INC","Equity","0.6733","90.93","913,996","$83,109,656","83,109,656.28","Consumer Staples","B2QW0Z8","US26138E1091","New York Stock Exchange Inc."
"CHD","CHURCH AND DWIGHT INC","Equity","0.6703","44.87","1,843,936","$82,737,408","82,737,408.32","Consumer Staples","2195841","US1713401024","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.6673","218.82","376,402","$82,364,286","82,364,285.64","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","0.6554","918.02","88,122","$80,897,758","80,897,758.44","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"O","REALTY INCOME REIT CORP","Equity","0.6526","59.84","1,346,176","$80,555,172","80,555,171.84","Real Estate","2724193","US7561091049","New York Stock Exchange Inc."
